Name,Class,Reg. No,Age
Eva,I M.Tech,44968,25
Eva,II M.Tech,96661,24
David,II M.Sc(M),60939,27
Bob,B.Sc(Hons),44069,30
Charlie,I M.Sc(M),8228,22
Bob,I M.Tech,64697,27
Alice,I M.Tech,91751,21
Alice,I M.Sc(M),45822,26
Eva,II M.Sc(M),96634,25
Alice,II M.Sc(M),28866,24
Bob,II M.Sc(M),80851,30
Eva,II M.Sc(M),2628,26
Bob,II M.Tech,98061,24
Eva,B.Sc(Hons),31638,28
Charlie,II M.Tech,12968,30
Alice,II M.Sc(M),87722,29
Charlie,I M.Sc(M),703,23
Alice,II M.Tech,34344,21
Alice,I M.Tech,20599,28
Bob,B.Sc(Hons),86885,20
Charlie,I M.Tech,5595,29
David,I M.Tech,38340,22
Eva,B.Sc(Hons),55983,25
Bob,II M.Sc(M),50981,21
Bob,I M.Tech,93754,28
Charlie,I M.Tech,7266,28
Bob,I M.Sc(M),71759,30
Alice,II M.Tech,17678,25
Bob,B.Sc(Hons),68251,25
Bob,I M.Tech,98652,23
David,I M.Tech,99600,21
Bob,B.Sc(Hons),25136,21
David,B.Sc(Hons),35515,29
David,I M.Sc(M),68563,29
Eva,B.Sc(Hons),3758,21
Eva,I M.Sc(M),63834,22
David,I M.Tech,49410,22
Eva,II M.Sc(M),2543,26
David,I M.Sc(M),57669,27
Bob,II M.Tech,23170,24
Charlie,I M.Tech,92663,21
David,I M.Sc(M),79542,23
David,II M.Sc(M),65383,20
Alice,II M.Sc(M),8345,27
Bob,I M.Sc(M),72417,28
Bob,II M.Sc(M),38775,30
Eva,II M.Sc(M),60444,22
Bob,I M.Tech,3204,20
Bob,I M.Sc(M),3335,20
Bob,B.Sc(Hons),920,25
Charlie,II M.Tech,47914,23
Bob,II M.Sc(M),88159,21
David,I M.Sc(M),90832,23
Alice,I M.Tech,67170,26
Bob,II M.Tech,78706,25
Eva,I M.Tech,61351,20
David,B.Sc(Hons),15358,21
David,I M.Tech,31747,22
Alice,I M.Tech,10630,30
David,I M.Sc(M),99196,20
Bob,I M.Tech,86943,27
Alice,II M.Sc(M),19305,23
David,B.Sc(Hons),22645,20
David,I M.Tech,10816,23
Alice,II M.Tech,78349,29
Alice,II M.Sc(M),90006,22
Alice,I M.Sc(M),72774,29
Bob,II M.Tech,5557,24
Alice,I M.Sc(M),66960,21
Eva,II M.Sc(M),34992,21
David,I M.Tech,34753,29
Bob,II M.Tech,71343,24
Charlie,I M.Sc(M),8536,28
David,II M.Tech,70915,24
Alice,II M.Tech,98140,29
David,II M.Sc(M),13449,24
Eva,B.Sc(Hons),40777,29
Eva,B.Sc(Hons),25716,30
David,II M.Sc(M),26329,27
Alice,II M.Tech,93808,24
Alice,II M.Sc(M),4972,30
Bob,I M.Tech,75782,29
Charlie,I M.Sc(M),31844,20
Alice,II M.Tech,33748,20
Alice,I M.Tech,99282,25
Alice,II M.Sc(M),24816,29
David,I M.Tech,97072,30
Eva,I M.Sc(M),20856,28
Alice,II M.Tech,2244,20
Eva,II M.Sc(M),21572,29
Eva,II M.Tech,6068,22
Eva,II M.Tech,33136,25
Alice,II M.Tech,76007,23
Charlie,B.Sc(Hons),49704,21
Bob,I M.Tech,53661,22
Eva,II M.Sc(M),61191,29
Alice,II M.Sc(M),55998,24
Charlie,I M.Sc(M),71649,21
Bob,I M.Tech,32372,21
Eva,I M.Tech,69225,30
Charlie,I M.Tech,20678,28
David,B.Sc(Hons),50469,30
Alice,II M.Tech,97888,23
Bob,II M.Tech,22957,23
Eva,II M.Tech,31372,23
Alice,B.Sc(Hons),63720,24
Bob,B.Sc(Hons),41955,29
David,I M.Sc(M),40673,24
Eva,II M.Tech,86446,29
Bob,I M.Sc(M),47333,28
Eva,II M.Sc(M),33933,20
Charlie,II M.Sc(M),1469,22
Bob,II M.Tech,5645,24
Eva,B.Sc(Hons),25673,25
Charlie,I M.Sc(M),60368,23
Bob,B.Sc(Hons),3176,20
Alice,I M.Tech,13793,25
Charlie,I M.Tech,11094,22
David,II M.Tech,69490,30
David,B.Sc(Hons),97780,22
David,I M.Tech,13252,26
David,I M.Sc(M),72924,26
Charlie,I M.Sc(M),6516,26
Eva,B.Sc(Hons),75581,22
Bob,II M.Sc(M),73562,25
Charlie,II M.Tech,984,28
Eva,I M.Sc(M),31839,29
Alice,B.Sc(Hons),99678,23
Charlie,B.Sc(Hons),99903,22
Bob,II M.Sc(M),27755,29
Alice,II M.Tech,73999,25
Eva,B.Sc(Hons),7212,30
Alice,I M.Sc(M),37514,28
Alice,II M.Sc(M),12968,30
Alice,B.Sc(Hons),50759,20
Charlie,I M.Tech,87018,29
David,B.Sc(Hons),71996,28
David,I M.Tech,4490,23
Alice,I M.Tech,77874,26
Alice,I M.Tech,23950,24
Charlie,II M.Sc(M),4756,22
David,II M.Sc(M),27070,22
Eva,B.Sc(Hons),36113,21
Eva,I M.Sc(M),4940,30
Eva,B.Sc(Hons),50031,25
Alice,II M.Tech,23796,24
Charlie,I M.Tech,4677,24
Alice,B.Sc(Hons),66073,28
Charlie,II M.Tech,16125,27
Charlie,II M.Tech,75654,21
David,II M.Tech,40908,26
Alice,II M.Tech,46666,26
David,I M.Tech,81111,29
Alice,B.Sc(Hons),28446,27
David,II M.Sc(M),69015,23
Charlie,B.Sc(Hons),96077,25
Bob,I M.Tech,88995,27
David,II M.Sc(M),47104,28
Bob,B.Sc(Hons),7013,28
Charlie,B.Sc(Hons),47462,27
Eva,I M.Sc(M),25979,27
David,II M.Sc(M),59701,28
Alice,I M.Sc(M),34757,24
Bob,II M.Tech,39701,23
David,II M.Sc(M),54399,22
Bob,I M.Tech,34464,27
Charlie,I M.Tech,47607,22
David,II M.Tech,19509,29
David,B.Sc(Hons),6784,27
Eva,II M.Tech,22077,25
Alice,II M.Sc(M),30029,30
Alice,II M.Sc(M),12491,29
Eva,II M.Tech,54783,23
David,I M.Sc(M),44979,27
David,I M.Sc(M),21560,21
Charlie,I M.Sc(M),92541,26
Eva,I M.Sc(M),99913,26
Alice,II M.Sc(M),99789,27
David,I M.Tech,12511,30
Charlie,II M.Sc(M),37096,30
Alice,I M.Sc(M),4497,29
David,B.Sc(Hons),65105,27
Eva,B.Sc(Hons),4064,22
Eva,I M.Sc(M),56267,30
Charlie,B.Sc(Hons),53348,26
Bob,II M.Tech,75454,23
Bob,I M.Sc(M),10109,22
Charlie,I M.Tech,80790,28
David,I M.Tech,94189,25
Bob,I M.Tech,49775,21
Charlie,I M.Sc(M),69359,29
Bob,I M.Sc(M),84461,27
Bob,II M.Sc(M),8775,30
Alice,II M.Tech,69808,30
David,II M.Sc(M),16761,27
Eva,II M.Tech,33006,20
Alice,I M.Tech,53579,28
Bob,II M.Sc(M),88511,23
David,I M.Sc(M),31801,25
Charlie,I M.Tech,35209,21
Eva,II M.Sc(M),47229,21
Charlie,I M.Tech,16678,22
Alice,II M.Sc(M),42582,23
Alice,B.Sc(Hons),89096,27
Bob,I M.Tech,49650,26
David,II M.Sc(M),26510,24
Charlie,I M.Sc(M),43568,21
Alice,II M.Tech,86976,21
Alice,II M.Sc(M),47846,24
Alice,I M.Sc(M),3935,20
Bob,II M.Sc(M),69636,20
Eva,B.Sc(Hons),93782,25
Bob,I M.Tech,6268,27
Bob,B.Sc(Hons),27447,25
Alice,II M.Sc(M),74976,22
Charlie,II M.Tech,87375,29
David,B.Sc(Hons),50057,20
Charlie,II M.Sc(M),50123,28
Eva,I M.Sc(M),73613,28
David,I M.Sc(M),17286,21
David,B.Sc(Hons),2036,20
David,II M.Sc(M),73293,30
David,I M.Tech,20282,28
Eva,II M.Tech,89305,21
Bob,II M.Sc(M),69852,23
Bob,I M.Sc(M),89418,24
Bob,B.Sc(Hons),25962,25
Bob,II M.Sc(M),97380,30
Alice,II M.Sc(M),23053,22
Eva,II M.Sc(M),89391,20
Alice,II M.Tech,13020,25
Eva,II M.Tech,60685,26
Bob,II M.Tech,72421,28
Alice,II M.Tech,52226,25
Eva,II M.Sc(M),13949,26
Eva,I M.Tech,16172,27
Bob,I M.Tech,25856,25
David,I M.Sc(M),21199,22
Eva,II M.Sc(M),95227,21
David,I M.Sc(M),73526,22
Alice,II M.Tech,9842,28
Charlie,I M.Sc(M),50408,28
Charlie,II M.Tech,24255,22
David,II M.Sc(M),62537,30
Eva,B.Sc(Hons),77882,28
David,B.Sc(Hons),41594,20
David,I M.Sc(M),60922,26
Eva,II M.Sc(M),65333,20
Bob,I M.Tech,38512,29
Eva,II M.Sc(M),18090,27
Eva,B.Sc(Hons),88250,24
Bob,I M.Tech,53110,30
Charlie,B.Sc(Hons),61797,24
Bob,II M.Sc(M),91861,23
Bob,I M.Tech,22348,24
Bob,B.Sc(Hons),69208,22
Bob,II M.Sc(M),9983,25
David,B.Sc(Hons),48160,27
Eva,B.Sc(Hons),73898,21
Bob,I M.Tech,9908,30
Bob,I M.Sc(M),85172,26
Eva,II M.Sc(M),61152,30
David,I M.Tech,47794,25
Bob,II M.Tech,90659,26
David,B.Sc(Hons),43177,21
David,B.Sc(Hons),76510,27
David,I M.Tech,53528,20
Charlie,II M.Sc(M),12104,27
David,B.Sc(Hons),40322,24
Alice,I M.Tech,36027,29
Charlie,I M.Sc(M),96244,25
Charlie,B.Sc(Hons),45087,25
Charlie,II M.Tech,29677,20
Alice,I M.Sc(M),50393,25
David,II M.Sc(M),55236,24
Bob,I M.Tech,56720,21
Alice,II M.Tech,21670,22
Bob,II M.Tech,1572,28
David,B.Sc(Hons),80506,30
David,B.Sc(Hons),48960,30
David,B.Sc(Hons),70710,22
David,I M.Sc(M),82769,28
Eva,II M.Sc(M),4328,29
David,I M.Sc(M),73824,28
Bob,B.Sc(Hons),60437,28
Bob,II M.Tech,86808,21
Charlie,B.Sc(Hons),12127,21
David,II M.Sc(M),4083,24
Bob,I M.Tech,4283,23
Alice,II M.Sc(M),84421,22
Eva,II M.Tech,82812,20
Eva,II M.Tech,5573,29
Eva,II M.Sc(M),52942,29
Alice,II M.Sc(M),85670,28
David,II M.Tech,12545,26
Eva,II M.Sc(M),82966,20
Bob,I M.Sc(M),16927,28
David,B.Sc(Hons),17687,21
Eva,B.Sc(Hons),71354,27
Bob,I M.Tech,14881,20
Charlie,I M.Tech,46454,24
Bob,I M.Tech,47797,22
Charlie,I M.Tech,20955,22
Eva,II M.Sc(M),47963,29
Bob,B.Sc(Hons),53968,22
Eva,I M.Tech,97281,28
Alice,I M.Tech,3257,22
Alice,I M.Sc(M),18064,21
Bob,II M.Sc(M),43845,20
Charlie,I M.Tech,14963,24
Bob,B.Sc(Hons),35769,23
Alice,II M.Sc(M),29801,22
Alice,B.Sc(Hons),89075,27
Charlie,II M.Tech,23997,27
Alice,B.Sc(Hons),82479,25
David,I M.Tech,57466,22
Charlie,II M.Tech,84291,20
David,I M.Sc(M),58047,28
David,B.Sc(Hons),32507,22
Eva,II M.Sc(M),72291,30
Bob,II M.Tech,14180,28
David,I M.Sc(M),45698,21
David,B.Sc(Hons),83278,23
Bob,B.Sc(Hons),69067,28
Eva,II M.Sc(M),62757,28
Alice,B.Sc(Hons),54077,26
Eva,I M.Sc(M),1741,27
Eva,I M.Sc(M),59490,28
Eva,I M.Tech,79442,23
Bob,I M.Tech,75931,29
Charlie,I M.Tech,92873,23
Bob,II M.Tech,40848,24
Eva,I M.Sc(M),46622,29
David,I M.Tech,2800,27
Eva,I M.Sc(M),56676,23
Eva,B.Sc(Hons),57994,25
Alice,II M.Tech,56705,26
Charlie,II M.Tech,33495,30
Alice,I M.Sc(M),94472,25
David,B.Sc(Hons),85841,21
Eva,II M.Tech,2392,24
David,I M.Tech,31669,30
David,B.Sc(Hons),52465,23
Alice,I M.Tech,32130,21
Bob,I M.Sc(M),46389,24
Eva,B.Sc(Hons),37441,22
Bob,I M.Tech,37063,27
Eva,I M.Sc(M),18889,22
Eva,II M.Sc(M),183,29
Eva,II M.Sc(M),28029,30
Eva,B.Sc(Hons),52283,21
Eva,II M.Tech,77132,21
Charlie,I M.Tech,2767,23
David,II M.Sc(M),16669,20
Eva,I M.Sc(M),88237,24
David,B.Sc(Hons),5627,22
Charlie,I M.Sc(M),75264,21
Charlie,II M.Sc(M),94604,28
Eva,II M.Sc(M),32024,25
Eva,II M.Sc(M),70028,29
Bob,B.Sc(Hons),90805,27
Alice,II M.Tech,13203,24
Bob,II M.Sc(M),28380,26
David,I M.Tech,65947,24
Bob,II M.Sc(M),37143,23
David,I M.Tech,35940,30
Eva,I M.Tech,38444,23
David,I M.Tech,84396,24
Charlie,B.Sc(Hons),56283,28
David,II M.Tech,28944,22
Bob,I M.Sc(M),16217,23
Eva,II M.Sc(M),31548,21
Bob,I M.Sc(M),96147,28
Eva,I M.Sc(M),11268,29
Bob,II M.Tech,83261,24
Charlie,II M.Sc(M),43293,22
Bob,I M.Sc(M),29112,25
Charlie,II M.Sc(M),15196,22
Charlie,I M.Sc(M),42514,25
Alice,II M.Tech,8780,23
Eva,I M.Tech,2097,23
Eva,II M.Tech,35595,28
David,II M.Tech,78250,23
David,I M.Sc(M),87603,26
Alice,I M.Tech,64384,24
Charlie,II M.Tech,88471,29
David,I M.Sc(M),81265,23
Bob,II M.Tech,4382,24
Charlie,I M.Tech,52664,25
Charlie,II M.Tech,68574,20
Bob,B.Sc(Hons),98409,28
Charlie,I M.Sc(M),24311,20
Charlie,B.Sc(Hons),61711,23
David,II M.Sc(M),73376,29
Alice,I M.Tech,70183,20
Eva,I M.Tech,91207,28
Charlie,I M.Sc(M),5322,28
Alice,II M.Tech,1470,27
Bob,I M.Sc(M),98026,20
Charlie,I M.Tech,87839,28
Charlie,II M.Tech,84595,26
Bob,I M.Sc(M),51972,22
Bob,I M.Sc(M),82635,24
Alice,II M.Tech,86119,25
Bob,B.Sc(Hons),54637,22
Alice,I M.Tech,93738,27
David,I M.Tech,92582,28
Alice,I M.Sc(M),31322,30
Eva,I M.Sc(M),35353,29
Alice,B.Sc(Hons),18885,22
Bob,I M.Sc(M),83491,24
David,II M.Sc(M),78225,22
Alice,I M.Sc(M),20765,28
Bob,II M.Tech,33190,20
Bob,I M.Tech,81534,21
Charlie,I M.Tech,12066,25
Eva,B.Sc(Hons),33221,21
Charlie,II M.Sc(M),44805,24
Alice,I M.Sc(M),37787,27
Eva,II M.Tech,75489,25
David,I M.Sc(M),77187,30
Alice,I M.Tech,67160,29
Eva,II M.Sc(M),82538,22
David,I M.Sc(M),62617,22
Bob,II M.Tech,92696,26
Alice,I M.Tech,43530,26
Charlie,II M.Tech,17476,23
Eva,I M.Tech,30727,23
David,I M.Sc(M),67694,24
Bob,I M.Sc(M),74520,27
David,I M.Tech,70183,24
Alice,II M.Sc(M),91033,26
Alice,B.Sc(Hons),35150,26
Charlie,B.Sc(Hons),81514,25
David,II M.Sc(M),68426,30
Alice,II M.Sc(M),54390,22
Alice,I M.Tech,36520,25
Alice,I M.Tech,24848,27
David,I M.Sc(M),63939,22
David,II M.Sc(M),71145,30
Charlie,II M.Tech,26659,26
Eva,I M.Tech,77875,28
Eva,II M.Sc(M),5787,24
David,I M.Sc(M),44023,30
David,I M.Sc(M),52730,26
Eva,I M.Tech,98320,28
Bob,II M.Tech,92080,25
David,B.Sc(Hons),80955,24
Bob,II M.Sc(M),8783,25
David,I M.Sc(M),73174,20
Bob,I M.Tech,44439,22
Alice,B.Sc(Hons),20210,23
Bob,I M.Tech,97298,23
Alice,I M.Tech,640,24
Eva,I M.Sc(M),77796,23
David,I M.Tech,43219,24
David,I M.Sc(M),19349,23
Eva,II M.Sc(M),80816,24
Bob,II M.Tech,42417,23
Charlie,I M.Tech,56946,29
Bob,II M.Tech,22500,22
Charlie,B.Sc(Hons),99443,22
Eva,II M.Sc(M),59281,24
Charlie,II M.Sc(M),27888,25
Bob,I M.Tech,1084,22
Eva,I M.Tech,46960,21
David,II M.Sc(M),43383,26
Alice,II M.Sc(M),73393,23
Bob,I M.Sc(M),61377,29
Bob,I M.Tech,57977,21
Charlie,II M.Sc(M),29336,22
Eva,B.Sc(Hons),79806,23
Alice,II M.Sc(M),26220,23
